"Date","Price","Open","High","Low","Vol.","Change"
"Sep 27, 2017","4,212.2","3,892.7","4,232.4","3,882.1","117.60K","8.21"
"Sep 26, 2017","3,892.7","3,932.8","3,982.3","3,858.8","63.25K","-1.02"
"Sep 25, 2017","3,932.8","3,667.5","3,971.5","3,665.7","100.20K","7.23"
"Sep 24, 2017","3,667.5","3,788.0","3,790.9","3,633.9","49.66K","-3.18"
"Sep 23, 2017","3,788.0","3,600.8","3,813.4","3,563.2","67.82K","5.20"
"Sep 22, 2017","3,600.8","3,617.3","3,753.5","3,505.8","114.72K","-0.45"
"Sep 21, 2017","3,617.3","3,882.2","3,912.8","3,576.5","145.13K","-6.82"
"Sep 20, 2017","3,882.2","3,908.0","4,053.0","3,846.8","86.65K","-0.66"
"Sep 19, 2017","3,908.0","4,100.3","4,120.7","3,852.2","123.22K","-4.69"
"Sep 18, 2017","4,100.3","3,689.6","4,122.8","3,689.0","147.93K","11.13"
"Sep 17, 2017","3,689.6","3,698.9","3,796.6","3,485.8","96.07K","-0.25"
"Sep 16, 2017","3,698.9","3,713.8","3,893.7","3,551.8","169.36K","-0.40"
"Sep 15, 2017","3,713.8","3,243.1","3,824.4","2,979.9","448.55K","14.51"
"Sep 14, 2017","3,243.1","3,870.3","3,930.7","3,219.0","317.59K","-16.21"
"Sep 13, 2017","3,870.3","4,158.9","4,174.6","3,752.0","186.54K","-6.94"
"Sep 12, 2017","4,158.9","4,217.9","4,387.8","4,075.0","107.04K","-1.40"
"Sep 11, 2017","4,217.9","4,245.9","4,364.4","4,134.6","88.76K","-0.66"
"Sep 10, 2017","4,245.9","4,335.1","4,338.1","4,032.1","108.08K","-2.06"
"Sep 09, 2017","4,335.1","4,326.5","4,402.1","4,185.3","77.09K","0.20"
"Sep 08, 2017","4,326.5","4,635.6","4,699.6","4,130.9","180.36K","-6.67"
"Sep 07, 2017","4,635.6","4,618.7","4,690.5","4,493.2","70.53K","0.37"
"Sep 06, 2017","4,618.7","4,409.1","4,660.0","4,401.5","110.93K","4.75"
"Sep 05, 2017","4,409.1","4,267.5","4,496.7","4,004.6","158.41K","3.32"
"Sep 04, 2017","4,267.5","4,612.9","4,621.0","4,098.6","170.40K","-7.49"
"Sep 03, 2017","4,612.9","4,573.8","4,719.8","4,397.7","102.82K","0.86"
"Sep 02, 2017","4,573.8","4,921.9","4,976.5","4,448.6","160.77K","-7.07"
"Sep 01, 2017","4,921.9","4,735.1","4,925.2","4,690.2","102.01K","3.94"
"Aug 31, 2017","4,735.1","4,583.0","4,765.1","4,580.1","72.29K","3.32"
"Aug 30, 2017","4,583.0","4,597.3","4,644.1","4,491.8","68.47K","-0.31"
"Aug 29, 2017","4,597.3","4,390.3","4,647.8","4,350.2","100.80K","4.71"
"Aug 28, 2017","4,390.3","4,345.8","4,403.1","4,195.2","75.49K","1.03"
"Aug 27, 2017","4,345.8","4,352.3","4,408.2","4,321.1","42.52K","-0.15"
"Aug 26, 2017","4,352.3","4,364.4","4,379.3","4,263.3","46.16K","-0.28"
"Aug 25, 2017","4,364.4","4,318.4","4,461.7","4,292.6","82.90K","1.07"
"Aug 24, 2017","4,318.4","4,141.1","4,364.1","4,111.7","72.36K","4.28"
"Aug 23, 2017","4,141.1","4,089.7","4,255.6","4,070.5","96.65K","1.26"
"Aug 22, 2017","4,089.7","4,005.1","4,142.7","3,612.2","169.14K","2.11"
"Aug 21, 2017","4,005.1","4,066.6","4,097.3","3,966.9","90.65K","-1.51"
"Aug 20, 2017","4,066.6","4,150.5","4,182.3","4,034.4","70.16K","-2.02"
"Aug 19, 2017","4,150.5","4,105.4","4,189.7","3,957.5","113.72K","1.10"
"Aug 18, 2017","4,105.4","4,278.9","4,362.7","3,978.3","144.40K","-4.06"
"Aug 17, 2017","4,278.9","4,387.4","4,487.5","4,194.1","127.48K","-2.47"
"Aug 16, 2017","4,387.4","4,161.7","4,398.1","3,938.6","112.90K","5.42"
"Aug 15, 2017","4,161.7","4,327.9","4,436.5","3,837.1","211.58K","-3.84"
"Aug 14, 2017","4,327.9","4,062.6","4,336.7","3,978.9","128.46K","6.53"
"Aug 13, 2017","4,062.6","3,871.6","4,189.4","3,847.3","158.59K","4.93"
"Aug 12, 2017","3,871.6","3,654.4","3,967.3","3,611.4","123.59K","5.94"
"Aug 11, 2017","3,654.4","3,425.7","3,706.5","3,409.8","97.56K","6.68"
"Aug 10, 2017","3,425.7","3,348.8","3,453.8","3,322.9","71.00K","2.30"
"Aug 09, 2017","3,348.8","3,429.4","3,437.1","3,251.0","97.06K","-2.35"
"Aug 08, 2017","3,429.4","3,401.9","3,494.9","3,357.1","106.94K","0.81"
"Aug 07, 2017","3,401.9","3,232.0","3,425.1","3,198.5","88.11K","5.26"
"Aug 06, 2017","3,232.0","3,262.8","3,295.1","3,166.5","60.66K","-0.94"
"Aug 05, 2017","3,262.8","2,878.5","3,344.0","2,875.9","159.40K","13.35"
"Aug 04, 2017","2,878.5","2,810.0","2,892.7","2,779.5","68.76K","2.44"
"Aug 03, 2017","2,810.0","2,720.5","2,822.9","2,717.6","68.10K","3.29"
"Aug 02, 2017","2,720.5","2,747.0","2,773.8","2,668.9","81.82K","-0.96"
"Aug 01, 2017","2,747.0","2,883.3","2,946.0","2,659.6","123.17K","-4.73"
"Jul 31, 2017","2,883.3","2,766.5","2,916.3","2,723.1","91.12K","4.22"
"Jul 30, 2017","2,766.5","2,733.5","2,773.1","2,621.7","82.72K","1.21"
"Jul 29, 2017","2,733.5","2,806.8","2,812.1","2,699.4","84.49K","-2.61"
"Jul 28, 2017","2,806.8","2,691.9","2,843.8","2,683.6","138.91K","4.27"
"Jul 27, 2017","2,691.9","2,559.2","2,712.9","2,547.7","103.83K","5.18"
"Jul 26, 2017","2,559.2","2,582.6","2,631.7","2,441.5","135.50K","-0.90"
"Jul 25, 2017","2,582.6","2,763.4","2,779.1","2,472.6","205.88K","-6.54"
"Jul 24, 2017","2,763.4","2,756.6","2,798.9","2,715.7","83.01K","0.25"
"Jul 23, 2017","2,756.6","2,836.5","2,856.7","2,675.6","108.23K","-2.82"
"Jul 22, 2017","2,836.5","2,675.1","2,876.7","2,658.6","121.92K","6.04"
"Jul 21, 2017","2,675.1","2,866.0","2,874.0","2,622.5","193.76K","-6.66"
"Jul 20, 2017","2,866.0","2,282.6","2,932.8","2,282.1","310.34K","25.56"
"Jul 19, 2017","2,282.6","2,320.2","2,412.4","2,243.1","154.32K","-1.62"
"Jul 18, 2017","2,320.2","2,233.4","2,400.7","2,164.6","202.62K","3.89"
"Jul 17, 2017","2,233.4","1,914.1","2,233.8","1,913.8","176.89K","16.68"
"Jul 16, 2017","1,914.1","1,975.1","2,044.4","1,809.0","189.64K","-3.09"
"Jul 15, 2017","1,975.1","2,234.2","2,237.1","1,974.0","155.32K","-11.60"
"Jul 14, 2017","2,234.2","2,362.4","2,370.5","2,165.4","114.41K","-5.43"
"Jul 13, 2017","2,362.4","2,403.1","2,436.7","2,335.0","88.17K","-1.69"
"Jul 12, 2017","2,403.1","2,324.3","2,424.8","2,262.1","109.52K","3.39"
"Jul 11, 2017","2,324.3","2,344.0","2,412.8","2,265.5","146.63K","-0.84"
"Jul 10, 2017","2,344.0","2,511.4","2,530.3","2,271.8","123.80K","-6.67"
"Jul 09, 2017","2,511.4","2,564.9","2,576.7","2,509.6","39.16K","-2.08"
"Jul 08, 2017","2,564.9","2,513.9","2,568.7","2,480.6","54.51K","2.03"
"Jul 07, 2017","2,513.9","2,614.2","2,617.5","2,484.7","90.45K","-3.84"
"Jul 06, 2017","2,614.2","2,627.9","2,634.8","2,581.8","60.16K","-0.52"
"Jul 05, 2017","2,627.9","2,617.3","2,642.7","2,562.0","89.72K","0.40"
"Jul 04, 2017","2,617.3","2,572.5","2,658.7","2,570.0","80.68K","1.74"
"Jul 03, 2017","2,572.5","2,536.5","2,617.5","2,506.3","83.42K","1.42"
"Jul 02, 2017","2,536.5","2,424.6","2,555.3","2,375.9","67.76K","4.61"
"Jul 01, 2017","2,424.6","2,480.6","2,529.6","2,387.5","66.32K","-2.26"
"Jun 30, 2017","2,480.6","2,558.4","2,576.3","2,469.5","73.00K","-3.04"
